id,titulo,genero,actor1,actor2,actor3,director,anio,calidad,formato,sinopsis
430,LA MARCHA DE LOS SOLDADITOS DE MADERA,Comedia,Stan Laurel,Oliver Hardy,Charlotte Henry,Gus Meins-Carley Rogers,1934,ByN,DVD,"Fecha de estreno en Montevideo:30-07-1935.Teatro Artigas, Azul
   En Toyland viven Stannie Dum y Ollie Dee. Los dos se encuentran hospedados en la casa de Madre Peep y trabajan en una fábrica de juguetes. En ese fantástico país el malvado y siniestro Silas Barnaby corteja a la hija de la anciana señora Peep, aunque ella se niega a acceder a sus deseos de matrimonio, puesto que su corazón está entregado a un joven de su entorno. Debido a esta negativa, Barnaby pone en práctica un método de presión…"
431,EL DESEMBARCO DE LOS 33 ORIENTALES,Histórica,Miguel A. Melino,Hugo Duhalde,Aldo Casanova,Miguel A. Melino,1952,ByN,DVD,"Fecha de estreno en Montevideo:15-04-1952. Coventry
Cuenta la historia del mítico desembarco.
Estimables escenas de combate."
432,ELECCIONES Y OTROS FILMS URUGUAYOS,Documental,Actores,no profesionales,,Mario Handler,,,DVD,"fecha de estreno en Montevideo: 4-08-1967. Renacimiento
Elecciones muestra escenas de actos políticos de la época.
 En alguna exhibición, cuando la elecciones de 1971 se suprimieron algunas escenas donde aparecían políticos que habían formado el Frente Amplio."
434,LUCES DE CANDILEJAS,Comedia,Alberto Castillo,Amelita Vargas,Miguel de Molina,Enrique Carreras,1956,Color,DVD,"Fecha de estreno en Montevideo: 29-10-1956 Plaza
Tres hermanos que no se conocían entre si, son convocados por su padre.
  Filmación parcial en Uruguay."
435,EL CURA LORENZO,Familiar,Angel Magaña,Tito Alonso,Nelly Meden,Augusto César Vatteone,1954,ByN,DVD,"Fecha de estreno en Montevideo:30-09-1955. Cine Coventry, con el título de ""Cuna de Campeones"".
  La vida del Padre Lorenzo Mazza, inspirador del Club San Lorenzo de Almagro, sacerdote que en medios carenciados y hostiles llevó a cabo una obra ejemplar."
436,A PLENO SOL,Policial,Alain Delon,Maurice Ronet,Marie laforet,Rene Clemet,1960,Color,DVD,24-08-1961 Censa
438,MORIR EN SU LEY,Cine Negro,Tita Merello,Roberto Escalada,Juan José Miguez,Manuel Romero,1949,ByN,DVD,"Fec ha de estreno en Montevideo: 29-11-1949.
Un policía (Juan José Miguez), se infiltra en una banda de malechores liderada por el Pibe Amalfi (Roberto Escalada)"
439,UN TROPEZON CUALQUIERA DA EN LA VIDA,Comedia,Alberto Castillo,Fidel Pintos,Francisco Alvarez,Manuel Romero,1949,ByN,DVD,"2-03-1949 Grand Palace
Para salvar a su hermano, un buen muchacho se hace encarcelar en su lugar.
  Manuel Romero recurre nuevamente al cantor Alberto Castillo para filmar la vieja fórmula de drama más canciones."
440,EL GUARDIAN ENMASCARADO,Western,Clayton Moore,Jay Silverhees,Perry López,Stuart Heisler,1956,Color,DVD,08-07-1957 Iguazú
441,EL VALIENTE DE OKLAHOMA,Western,James Cagney,Humphrey Bogart,Rosemary Lane,Lloyd Bacon,1939,ByN,DVD,
442,LOS COMANCHEROS,Western,John Wayne,Stuart Whitman,Lee Marvin,Michael Curtiz,1961,Color,DVD,
443,LOS DEPRAVADOS,Western,Gregory Peck,Joan Collins,Stephen Boyd,Henry King,1958,Color,DVD,
444,AL REDOBLAR DE TAMBORES,Western,Henry Fonda,Claudette Colbert,John Carradine,John Ford,1939,Color,DVD,
445,LA FLECHA ROTA,Western,James Stewart,Jeff Chandler,Debra Paget,Delmer Daves,1950,Color,DVD,
446,HOMBRE DEL OESTE,Western,Gary Cooper,Julie London,Lee J. Cobb,Anthony Mann,1958,Color,DVD,
447,TITANIC,Drama,Leonardo DiCaprio,Kate Winslet,Bily Zane,James Cameron,1998,Color,DVD,
448,LA QUIMERA DEL ORO,Western,Charles Chaplin,Georgia Hale,Mack Swain,Charles Chaplin,1925,ByN,DVD,10-02-1943 Trocadero. Versión sonorizada (1942)
449,EL CIUDADANO,Drama,Orson Welles,Joseph Cotten,Dorothy Comingore,Orson Welles,1941,ByN,DVD,
450,LA DILIGENCIA,Western,John Wayne,Claire Trevor,Thomas Mitchell,John Ford,1939,ByN,DVD,24-06-1939 Rex
451,39 ESCALONES,Suspenso,Robert Donat,Madeleine Carroll,Godfrey Tearle,Alfred Hitchcock,1935,ByN,DVD,
452,SER O NO SER,Comedia,Carole Lombard,Jack Benny,Robert Stack,Ernst Lubisch,1942,ByN,DVD,29-07-1942. Trocadero.
453,BARTOLO TENIA UNA FLAUTA,Comedia,Luis Sandrini,Herminia Franco,Eduardo Sandrini,Antonio Botta,1939,ByN,DVD,"15-02-1940 Radio City
Un flutista es engañado, le plagian el tema, gana un juicio, se vuelve millonario y conquista una enfermera.
 Uno de los grandes éxitos de Sandrini"
454,SOMBRERO DE COPA,Musical,Fred Astaire,Ginger Rogers,Edward Everett Horton,Mark Sandrich,1935,ByN,DVD,
455,ESCUELA DE SIRENAS Y TIBURONES,Comica,Alfredo Barbieri,Amelita Vargas,Francisco Alvarez,Enrique Carreras,1955,B&N,DVD,"10-10-1955 Ambassador
  Equivocos, intrigas y canciones en un Colegio. Filmada aprovechando el momento de mayor popularidad de la pareja Barbieri-Vargas."
456,EL ANGEL AZUL,Drama,Marlene Dietrich,Emil Jannings,Kurt Gerron,Josef Von Sternberg,1930,ByN,DVD,
457,EL ARQUERO VERDE (serial),Suspenso,Victor Jory,Iris Meredith,James Craven,James W. Horne,1940,ByN,DVD,"29-04-1942. En 15 episodios, en carias salas"
458,M EL VAMPIRO NEGRO,Suspenso,Peter Lorre,Gustav Grunders,Otto Wernicke,Fritz Lang,1931,ByN,DVD,2-06-1932 Paris
459,LA LOBA,Drama,Bette Davis,Herbert Marshall,Teresa Wright,William Wyler,1941,ByN,DVD,1-07-1942 Trocadero
460,HAMLET,Drama,Laurence Olivier,Jean Simmons,Anthony Quayle,Laurence Olivier,1948,ByN,DVD,22-09-1949 Luxor
462,CONDUCIENDO A MISS DAISY,Drama,Jessica Tandy,Morgan Freeman,Dan Aykroyd,Bruce Beresford,1989,ByN,DVD,22-03-1990 Plaza
463,CUMBRES BORRASCOSAS,Drama,Laurence Olivier,Merle Oberon,David Niven,William Wyler,1939,ByN,DVD,23-11-1939 Radio City
464,LADRONES DE BICICLETAS,Drama,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Vittorio De Sica,1948,ByN,DVD,
465,LA GENERAL,Comica,Buster Keaton,Marion Mack,Glen Cavender,Buster Keaton,1926,ByN,DVD,
466,LO QUE NO FUE,Drama,Trevor Howard,Celia Johnsonn,Stanley Holloway,David Lean,1945,ByN,DVD,10-09-1947. Trocadero
467,LA GARRA DE ACERO (Serial),Suspenso,Charles Quiley,Joyce Bryant,Walter Sande,James W. Horne,1941,ByN,DVD,
468,LA LLAVE MAESTRA (Serial),Suspenso,Milburn Stone,Dennis Moore,Jan Willey,Ray Taylor,1945,ByN,DVD,
469,INTERMEZZO CRIMINAL,Comedia,Olinda Bozán,Pablo Palitos,Dringue Farías,Luis Moglia Barth,1953,ByN,DVD,"Fecha de estreno en Montevideo: 2-10-53 Grand Palace.
  En un teatro de variedades un actor aparece muerto. La policía investiga quien es el asesino."
470,EL MASTIN DE LOS BASKERVILLES,Suspenso,Peter Cushing,Nigel Stock,Gary Raymond,Graham Evans,1968,ByN,DVD,
471,KING KONG,Aventuras,Fay Wray,Robert Armstrong,Bruce Cabot,Merian Cooper/Schoeds,1933,ByN,DVD,"3-08-1933 Rex
  Un cineasta involucraa una joven mujer desempleada en un rodaje misterioso en la Isla de la Calavera, en los mares del sur, en el que intenta filmar al mítico rey Kong. Después de muchas peripecias es llevado a Nueva York para exhibirlo, pero Kong enfurece y escapa entre los rascacielos de la ciudad."
472,CORRESPONSAL EXTRANJERO,Suspenso,Joel McCrea,Laraine Day,Herbert Marshall,Alfred Hitchcock,1940,ByN,DVD,
473,EL LADRON DE BAGDAG,Aventuras,Conrad Veidt,Sabú,June Duprez,Alexander Korda,1940,Color,DVD,
474,"ADIOS,MUÑECA",Cine Negro,Robert Mitchum,Charlotte Rampling,Sylvia Miles,Dick Richards,1975,Color,DVD,"El detective privado Philip Marlowe (Robert Mitchum) ha sido contratado por el enorme maleante y ex presidiario Moose Malloy (Jack O'Halloran) para localizar a su antigua amante Velma Valento (Charlotte Rampling), de la que no tiene noticias desde que fue encarcelado seis años atrás. Philip contactará con Tommy Ray (Walter McGinn), antiguo trompetista de la sala de fiestas donde trabajaba Velma, y con Jessie Florian (Sylvia Miles), una antigua amiga de Velma. La investigación le llevará a recorrer el submundo del crimen en Los Angeles de la decada de 1940.
   Adios Muñeca está basada en la novela Farewall,my lovely de Raymond Chandler. Por su trabajo en esta película Sylvia Miles fue nominada al Oscar como Mejor Actriz de Reparto.
11-10-1977 California"
475,QUE BELLO ES VIVIR,Drama,James Stewart,Donna Reed,Thomas Mitchell,Frank Capra,1946,ByN,DVD,
476,OLIVER TWIST,Aventuras,Robert Newton,Alec Guinness,Kay Walsh,David Lean,1947,ByN,DVD,4-05-1954 Eliseo
477,CUIDADO CON LAS COLAS,Comedia,Juan C. Thorry,Fernando Siro,Enrique Serrano,Julio Saraceni,1964,ByN,DVD,"Fecha de estreno en Montevideo: 1/06/1967 Cine Monumental
  En ausencia de su esposa, un hombre (Thorry) y su hermano soltero (Siro) invitan a dos mujeres que conocen en la cola de un cine. Allí también está el futuro suegro (Serrano) y todo se complica. Ultima película de Enrique Serrano.
SIC: ""Una comedia de enredos muy grata y animada"" La Nación"" (Arg)"
478,CUANDO BESA MI MARIDO,Comedia,Juan C. Thorry,Malisa Zini,Angel Magaña,Carlos Schlieper,1950,ByN,DVD,"Fecha de Estreno en Montevideo: 16/05/1950. Cines Grand Palace y Victory.
 Una mujer encuentra la carta de amor de una cantante (Amelita Vargas) en el impermeable de su esposo con los consiguientes malentendidos.
SIC: ""No cae en nigún momento en el recurso vulgar, a pesar de que todo su desarrollo resuma peligrosa picardía, jugada a todo lujo con esa rapidez obligada en comedias de este tipo"" El Mundo (Arg)"
479,EL CABALLERO DEL DESIERTO,Western,Gary Cooper,Walter Brennan,Doris Davenport,William Wyler,1940,ByN,DVD,Fecha de estreno en Montevideo: 31/10/1948. Cine Radio City
480,MARTIN PESCADOR,Comedia,Enrique Serrano,Francisco Alvarez,Elsa del Campillo,Antonio Ber Ciani,1951,ByN,DVD,"Fecha de estreno en Montevideo: 31-10-1951 Rex
Un hombre y su afán por educar a su hijo."
481,ISABELITA,Comedia,Juan C. Thorry,Paulina Singerman,Tito Lusiardo,Manuel Romero,1940,ByN,DVD,"Fecha de estreno en Montevideo:7-08-1941
  Una mujer de posición acomodada (Paulina Singerman) se hace pasar por criada para conquistar a un hombre humilde (Juan Carlos Thorry).
  Comedia sofisticada filmada por Romero agilmente confrontando, como siempre lo elitista con lo popular y, como siempre en este director inclinándose por los humildes y populares.
  Ha ganado prestigio con el tiempo."
483,SOLO VIVIMOS UNA VEZ,Drama,Sylvia Sidney,Henry Fonda,Barton Mac Lane,Fritz Lang,1936,ByN,DVD,28-05-1937 Ariel
484,QUINTO AÑO NACIONAL,Drama,Javier Portales,Guillermo Bredeston,Santiago Gomez Cou,Rodolfo Blasco,1961,ByN,DVD,"Fecha de estreno en Montevideo: 5-07-1962 Coventry
  Las historias de distintos alumnos de un colegio secundario, con los ingredientes habituales: humor,romance, profesores bondadosos o severos y algún momento trágico.
  Las interpretaciones en líneas generales son todas buenas."
485,ALMAS DESESPERADAS,Drama,Richard Widmark,Marilyn Monroe,Anne Bancroft,Roy Baker,1952,ByN,DVD,Fecha de estreno en Montevideo: 2-03-1953.Cine California
486,EL JUEZ DEL PATIBULO,Western,Paul Newman,Anthony Perkins,Ava Gardner,John Huston,1971,Color,DVD,Fecha de estreno en Montevideo: 25-05-1973. Cine Censa
487,EL TERCER HOMBRE,Drama,Orson Welles,Joseph Cotten,Alida Valli,Carol Reed,1949,ByN,DVD,"23-05-1951 California, Luxor, Victory"
488,8 MUJERES,Policial,Catherine Deneuve,Isabelle Huppert,Danielle Darrieux,Francois Ozon,2002,Color,DVD,"11-10-2002 Grupocine Ejido. Movie Center Montevideo, Punta Carretas, Portones, Alfabeta Hoyts.
 Una familia se reune para festejar las fiestas de fin de año. Una persona es asesinada y ocho mujeres son sospechosas del crimen. Cada una tiene un motivo, cada una tiene un secreto. Una de ellas es culpable."
489,LOS PROFESIONALES,Western,Lee Marvin,Burt Lancaster,Claudia Cardinale,Richard Brooks,1966,Color,DVD,5-06-1967 Plaza
490,TOMATES VERDES FRITOS,Drama,Jessica Tandy,Kathy Bates,Mary Stuart Masterson,Jon Avnet,1992,Color,DVD,
491,LOS COMIENZOS DEL CINE,Documental,El viaje a la luna,de George Melies,El gran robo del tren,Edwin S.Porter,1903,ByN,DVD,
492,GUNG HO !,Bélica,Randolph Scott,Alan Curtis,Robert Mitchum,Ray Enright,1943,ByN,DVD,6-07-1944 Radio city
493,MUJERES QUE BAILAN,Comedia,Nini Marshall,Fanny Navarro,Enrique Roldán,Manuel Romero,1949,B&n,DVD,"23-05-1949 Grand Palace
 Una muchacha del interior llega a la ciudad para tratar de triunfar en el ballet."
494,LA DILIGENCIA 2,Western,Kris Kristofferson,Willie Nelson,Johnny Cash,Ted Post,1986,Color,DVD,
495,LA CASA DE LA MONTAÑA EMBRUJADA,Terror,Vincent Price,Carolyn Craig,Richard Long,William Castle,1958,ByN,DVD,"21-11-1962 Radio City
 Un excéntrico millonario ofrece diez mil dólares a todo aquel que se considere capaz de pasar una noche en una casa que mantiene dispuesta para escépticos."
496,HACIA LOS GRANDES HORIZONTES,Western,Alex Cord,Bing Crosby,Ann Margret,Gordon Douglas,1966,Color,DVD,"3-04-1967 California
  Un grupo de diversas clases sociales coinciden en un viaje en diligencia que debe cruzar el territorio indio, un médico alcoholico, una hermosa muchacha que ha sido expulsada de la ciudad por conducta inmoral, un jugador profesional, un vendedor de whisky, un banquero corrupto, una joven mujer embarazada y un joven que busca venganza.
 Remake de La Diligencia (1939) de John Ford."
497,LA BALADA DE CABLE HOGUE,Western,Jason Robards,Stella Stevens,Davis Warner,Sam Peckinpah,1970,Color,DVD,1-02-1971 18 de julio. Titulo local: La balada del desierto.
498,EL VUELO DE LA FLECHA,Western,Rod Steiger,Brian Keith,Charles Bronson,Samuel Fuller,1957,Color,DVD,1-12-1958 Trocadero
499,EL MAGO DE OZ,Familiar,Larry Semon,Dorothy Dwan,Oliver Hardy,Larry Semon,1925,B&N,DVD,
500,UN HOMBRE Y UNA MUJER,Drama,Jean-Louis Trintignat,Anouk Aimée,Pierre Barouh,Claude Lelouch,1966,Color,DVD,Fecha de estreno en Montevideo: 1-06-1967. Eliseo
501,ARMAS AL HOMBRO Y EL PEREGRINO,Comica,Charles Chaplin,Edna Purviance,Eric Campbell,Charles Chaplin,1918,ByN,DVD,
502,EL CIRCO,Comedia,Charles Chaplin,Myrna Kennedy,Henry Bergman,Charles Chaplin,1928,ByN,DVD,
503,LOS PELIGROS DE NYOKA (Serial),Aventuras,Kay Aldridge,Clayton Moore,William Benedict,William Witney,1942,ByN,DVD,13-02-1942 en episodios en varias salas
504,EL AVISPON VERDE (Serial),Policial,Gordon Jones,Anne Nagel,Keye Luke,Ford Beebe/Ray Taylor,1940,ByN,DVD,
505,VALLE DE PASIONES (temporada 1),Western,Barbara Stanwyck,Richard Long,Linda Evans,William Graham y otr,1965,Color,DVD,
506,LOS TEMERARIOS DEL CIRCULO ROJO (Serial 12 e),Policial,Charles Quigley,Herman Brix,David Sharpe,W. Witney/John English,1939,ByN,DVD,
507,MUJERES QUE TRABAJAN,Comedia,Mecha Ortiz,Nini Marshall,Enrique Roldán,Manuel Romero,1938,ByN,DVD,"28-07-1938 Rex, Ariel
Una joven aristocrática se ve obligada por las circunstancias a trabajar en una tienda.
"" Cuando se estrenó Mujeres que trabajan se repitió el mismo fenómeno que en la radio. El éxito de Niní era fulminante y estoy segura que el triunfo de la película se debió en gran medida a su labor""(Mecha Ortiz)"
508,SACACHISPAS,Comedia,Armando Bo,Oscar Valicelli,Norma Gimenez,Jerry Gómez,1950,ByN,DVD,"6-07-1950 Central
Un maestro de música y un policía dirigen un club de niños."
509,FILARMONICA CARTOON,Musical,,,,Federico García Vigil,1998,Color,DVD,
510,PAYASO,Comedia,Luis Sandrini,Malvina Pastorino,Carlos Castro,Lucas Demare,1954,BYN,DVD,"2-06-1952 Ambassador
  El éxito de un payaso se debe a la ideas de un hombre detrás de escena."
512,LOS VIGILANTES DE LA LEY (Serial),Western,Robert Livingston,Kay Hughes,Guin (Big Boy) Williams,Mack Wright/Ray Taylor,1936,ByN,DVD,
513,EL PUERTO FANTASMA  (Serial 15 ep),Aventuras,Kane Richmond,Kay Aldridge,Roy Barcroft,Spencer Bennet,1944,Byn,DVD,
514,LA SELVA AFRICANA (Serial 15 ep),Aventuras,Clyde Beatty,Manuel King,Elaine Shepard,B. Reeves Eason,1936,ByN,DVD,
515,EL MISTERIOSO DR. SATANAS  (Serial),Ciencia Ficción,Eduardo Cianelli,Robert Wilcox,Ella Neal,William Witney/John English,1940,ByN,DVD,
516,LA SOMBRA QUE MATA (Serial 12 ep),Suspenso,Bela Lugosi,Viva Tattersall,Malcolm Mc Gregor,Albert Herman y Colbert Clark,1933,ByN,DVD,
517,LOS TAMBORES DE FU MANCHU(Serial),Aventuras,Henry Brandon,William Royle,Robert Kellard,William Witney y John English,1940,ByN,DVD,
518,EL AVISPON VERDE VUELVE AL ATAQUE (serial),Policial,Warren Hull,Wade Boteler,Anne Nagel,Ford Beebe,1940,ByN,DVD,
519,SHERLOCK HOLMES DESAFIA LA MUERTE,Suspenso,Basil Rathbone,Nigel Bruce,Denis Hoey,Roy William Neil,1943,ByN,DVD,
521,MUDOS TESTIGOS,Suspenso,Basil Rathbone,Nigel Bruce,Hillary Brooke,Roy William Neill,1945,ByN,DVD,
522,LA VOZ DEL TERROR,Suspenso,Basil Rathbone,Nigel Bruce,Evelyn Aukers,John Rawlins,1942,ByN,DVD,
523,VESTIDA PARA MATAR,Suspenso,Basil Rathbone,Nigel Bruce,Patricia Morison,Roy William Neill,1945,ByN,DVD,
527,RIO ROJO,Western,John Wayne,Montgomery Clift,Walter Brennan,Howard Hawks,1948,ByN,DVD,
528,FIEBRE DE SANGRE,Western,Gregory Peck,Helen Wetscott,Millard Mitchell,Henry King,1950,ByN,DVD,
529,SANGRE SOBRE EL SOL,Policial,James Cagney,Sylvia Sidney,Wallace Ford,Frank Lloyd,1945,ByN,DVD,
530,EL HOMBRE QUIETO,Drama,John Wayne,Maureen O'Hara,Victor Mc laglen,John Ford,1952,ByN,DVD,fecha de estreno en Montevideo:19-10-1953 Cines Plaza y Central.
531,EL PRINCIPE VALIENTE,Aventuras,Robert Wagner,James Mason,Janet Leight,Henry Hathaway,1954,Color,DVD,
533,MORENA Y DE PELIGRO,Comedia,Bob Hope,Dorothy Lamour,Peter Lorre,Elliott Nugent,1947,ByN,DVD,
534,EL ANGEL DESNUDO,Drama,Olga Zubarry,Guillermo Battaglia,Carlos Cores,Carlos H. Christensen,1946,ByN,DVD,"Fecha de estreno en Montevideo:2-01-1947.Ambassador
Una adolescente decide entregarse a un escultor para salvar de la ruina a su padre. Buen melodrama. Un clásico"
535,LA BESTIA DEBE MORIR,Suspenso,Narciso Ibañez Menta,Guillermo Battaglia,Laura Hidalgo,Román Viñoly Barreto,1952,ByN,DVD,"12-01-1953 Trocadero
Cuando su hijo es atropellado por un auto, un escritor busca desesperadamente vengar su  muerte y sale en busca de su asesino."
536,DEL MISMO BARRO,Western,Warren Beatty,Julie Christie,Rene Auberjonois,Robert Altman,1971,Color,DVD,Fecha de estreno en Montevideo: 4-02-1972
537,FANTASIA 2000,Musical,Steve Martin,Bette Midler,Angela Lansbury,James Algar,1999,Color,DVD,
538,SABES QUIEN VIENE A CENAR ?,Comedia,Spencer Tracy,Katharine Hepburn,Sidney Poitier,Stanley Kramer,1967,Color,DVD,
539,GETTYSBURG,Aventuras,Tom Berenger,Martin Sheen,Jeff Daniels,Ronald Maxwell,1993,Color,DVD,
540,DICK TRACY,Policial,Warren Beatty,Al Pacino,Madona,Warren Beatty,1990,Color,DVD,
541,CUANDO ES PRECISO SER HOMBRE,Western,Candice Bergen,Peter Strauss,Donald Pleasence,Ralph Nelson,1970,Color,DVD,
542,TARZAN Y LOS CAZADORES,Aventuras,Gordon Scott,Eve Brent,Rickie Sorensen,Charles Haas,1958,ByN,DVD,
543,EL HIJO DE GABINO BARRERA,Aventuras,Antonio Aguilar,Jaime Fernández,Martha Dual,Rene Cardona,1965,Color,DVD,
